keyword,target,intent,totalVol,comp,score
"플라워레슨",입문,정보,120,"높음",36
"꽃클래스",입문,거래,120,"높음",36
"밀랍왁스",입문,정보,120,"높음",36
"마산원데이클래스",입문,거래,120,"높음",36
"하남원데이클래스",입문,거래,120,"높음",36
"디퓨저원액",입문,정보,120,"높음",36
"용돈봉투도안",입문,상업,120,"높음",36
"향수클래스",입문,거래,120,"높음",36
"비즈제작",입문,정보,120,"높음",36
"반지공예",입문,정보,120,"높음",36
"비즈재료도매",입문,상업,120,"높음",36
"천연비즈",입문,정보,120,"높음",36
"오닉스비즈",입문,정보,120,"높음",36
"토목공사표준시방서",입문,정보,115,"높음",35
"레진UV램프",입문,정보,110,"높음",33
"레진에폭시",입문,정보,110,"높음",33
"레진액",입문,정보,110,"높음",33
"아크릴레진",입문,정보,110,"높음",33
"골드필드부자재",입문,상업,110,"높음",33
"큐빅부자재",입문,상업,110,"높음",33
"공예DIY",입문,상업,110,"높음",33
"주얼리디스플레이",입문,정보,110,"높음",33
"개업선물액자",선물,정보,110,"높음",33
"콜드브루선물세트",선물,정보,110,"높음",33
"가죽공예학원",입문,정보,110,"높음",33
"가죽공예공방",입문,거래,110,"높음",33
"캘리그라피독학",입문,정보,110,"높음",33
"침실디퓨저",입문,정보,110,"높음",33
"꽃집향디퓨저",입문,정보,110,"높음",33
"캘리그라피글씨체연습",입문,정보,110,"높음",33
"공예수업",입문,거래,110,"높음",33
"포레스트디퓨저",입문,정보,110,"높음",33
"스위프트가죽",입문,정보,110,"높음",33
"리드디퓨저",입문,정보,110,"높음",33
"명상체험",입문,거래,110,"높음",33
"다문화체험",입문,거래,110,"높음",33
"대구취미",입문,정보,110,"높음",33
"양초재료",입문,상업,110,"높음",33
"여의도원데이클래스",입문,거래,110,"높음",33
"소이캔들만들기",입문,상업,110,"높음",33
"캔들브랜드",입문,정보,110,"높음",33
"비누도장",입문,정보,110,"높음",33
"석고분말",입문,정보,110,"높음",33
"부부취미",입문,정보,110,"높음",33
"혼자할수있는취미",입문,정보,110,"높음",33
"향수제조",입문,정보,110,"높음",33
"비즈공예배우기",입문,거래,110,"높음",33
"마크라메끈",입문,정보,110,"높음",33
"비즈공예도구",입문,정보,110,"높음",33
"비즈체인",입문,정보,110,"높음",33
"진주팔찌만들기",입문,상업,110,"높음",33
"디퓨저공방",입문,거래,110,"높음",33
"천호동데이트",커플,정보,110,"높음",33
"제주디퓨저",입문,정보,110,"높음",33
"여름팔찌만들기",입문,상업,110,"높음",33
"비즈핸드폰줄",입문,정보,110,"높음",33
"디퓨져오일",입문,정보,110,"높음",33
"공예와이어",입문,정보,110,"높음",33
"레진아트세트",입문,정보,100,"높음",30
"레진몰드만들기",입문,상업,100,"높음",30
"가죽공예배우기",입문,거래,100,"높음",30
"슈링클스공예",입문,정보,100,"높음",30
"실리콘몰드주문제작",입문,상업,100,"높음",30
"금속공예재료",입문,상업,100,"높음",30
"나전칠기재료",입문,상업,100,"높음",30
"신발부자재",입문,상업,100,"높음",30
"십자수재료",입문,상업,100,"높음",30
"원석목걸이재료",입문,상업,100,"높음",30
"취미DIY",입문,상업,100,"높음",30
"집게핀부자재",입문,상업,100,"높음",30
"간단한만들기",입문,상업,100,"높음",30
"부모참여수업만들기",입문,거래,100,"높음",30
"팬던트부자재",입문,상업,100,"높음",30
"노인취미",입문,정보,100,"높음",30
"꾸미기재료",입문,상업,100,"높음",30
"집에서할수있는취미",입문,정보,100,"높음",30
"십자가몰드",입문,상업,100,"높음",30
"비누원데이클래스",입문,거래,100,"높음",30
"힐링체험",입문,거래,100,"높음",30
"건강선물세트",선물,정보,100,"높음",30
"이색선물",선물,정보,100,"높음",30
"답례품디퓨저",선물,정보,100,"높음",30
"집들이선물10만원",선물,정보,100,"높음",30
"초대형디퓨저",입문,정보,100,"높음",30
"베르가못디퓨저",입문,정보,100,"높음",30
"디퓨져브랜드",입문,정보,100,"높음",30
"신발장디퓨저",입문,정보,100,"높음",30
"에센셜오일디퓨저",입문,정보,100,"높음",30
"가죽가방키트",입문,상업,100,"높음",30
"캘리그라피서체",입문,정보,100,"높음",30
"가죽공예지갑",입문,정보,100,"높음",30
"디지털캘리그라피",입문,정보,100,"높음",30
"화이트머스크디퓨저",입문,정보,100,"높음",30
"가죽구매",작품,정보,100,"높음",30
"가죽공예패턴",입문,정보,100,"높음",30
"가죽고리",입문,정보,100,"높음",30
"가죽키링만들기",입문,상업,100,"높음",30
"공방가죽",입문,거래,100,"높음",30
"양가죽원단",입문,정보,100,"높음",30
"가죽공예바늘",입문,정보,100,"높음",30
"사진취미",입문,정보,100,"높음",30
"제주데이트코스",커플,정보,100,"높음",30
"모루인형재료",입문,상업,100,"높음",30
"전통체험",입문,거래,100,"높음",30
"바다캔들만들기",입문,상업,100,"높음",30
"캔들심지",입문,정보,100,"높음",30
"부산원데이",입문,거래,100,"높음",30
"세종시원데이클래스",입문,거래,100,"높음",30
"디퓨저DIY",입문,상업,100,"높음",30
"섬유탈취제만들기",입문,상업,100,"높음",30
"명품캔들",입문,정보,100,"높음",30
"40대남자취미",입문,정보,100,"높음",30
"비즈구매",작품,정보,100,"높음",30
"티코스터DIY",입문,상업,100,"높음",30
"디퓨저제작",입문,정보,100,"높음",30
"3MM비즈",입문,정보,100,"높음",30
"디퓨져병",입문,정보,100,"높음",30
